"Nominee","Party","Home.state","Running.mate","Electoral.vote","Popular.vote","Percentage","year","state","url","margin","electoral_votes_maximum","electoral_winner","state_winner","votes_margin_total"
"John Kerry","Democratic","Massachusetts","John Edwards",0,111025,35.52,2004,"Alaska","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Alaska",79864,3,"George W Bush","George W Bush",115570
"John McCain","Republican","Arizona","Sarah Palin",3,193841,59.42,2008,"Alaska","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Alaska",70247,3,"Barack Obama","John McCain",990320
"Barack Obama","Democratic","Illinois","Joe Biden",0,123594,37.89,2008,"Alaska","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Alaska",70247,3,"Barack Obama","John McCain",990320
"Mitt Romney","Republican","Massachusetts","Paul Ryan",3,164676,54.8,2012,"Alaska","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Alaska",42036,3,"Barack Obama","Mitt Romney",429522
"Barack Obama","Democratic","Illinois","Joe Biden",0,122640,40.81,2012,"Alaska","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Alaska",42036,3,"Barack Obama","Mitt Romney",429522
"Donald Trump","Republican","New York","Mike Pence",3,163387,51.28,2016,"Alaska","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alaska",46933,3,"Donald Trump","Donald Trump",77744
"Hillary Clinton","Democratic","New York","Tim Kaine",0,116454,36.55,2016,"Alaska","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alaska",46933,3,"Donald Trump","Donald Trump",77744
"Gary Johnson","Libertarian","New Mexico","Bill Weld",0,18725,5.88,2016,"Alaska","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alaska",46933,3,"Donald Trump","Donald Trump",77744
"Warren G Harding","Republican","Ohio","Calvin Coolidge",3,37016,55.61,1920,"Arizona","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Arizona",7470,3,"Warren G Harding","Warren G Harding",1291746
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",0,29546,44.39,1920,"Arizona","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Arizona",7470,3,"Warren G Harding","Warren G Harding",1291746
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",3,30516,41.26,1924,"Arizona","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arizona",4281,3,"Calvin Coolidge","Calvin Coolidge",775520
"John W Davis","Democratic","West Virginia","Charles W Bryan",0,26235,35.47,1924,"Arizona","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arizona",4281,3,"Calvin Coolidge","Calvin Coolidge",775520
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler",0,17210,23.27,1924,"Arizona","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arizona",4281,3,"Calvin Coolidge","Calvin Coolidge",775520
"Herbert Hoover","Republican","California","Charles Curtis",3,52533,57.57,1928,"Arizona","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Arizona",13996,3,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph T Robinson",0,38537,42.23,1928,"Arizona","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Arizona",13996,3,"Herbert Hoover","Herbert Hoover",866640
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",3,79264,67.03,1932,"Arizona","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Arizona",43160,3,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Herbert Hoover","Republican","California","Charles Curtis",0,36104,30.53,1932,"Arizona","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Arizona",43160,3,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",3,86722,69.85,1936,"Arizona","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Arizona",53289,3,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,33433,26.93,1936,"Arizona","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Arizona",53289,3,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",3,95267,63.49,1940,"Arizona","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Arizona",41237,3,"Franklin D Roosevelt","Franklin D Roosevelt",891866
