"Nominee","Party","Home.state","Running.mate","Electoral.vote","Popular.vote","Percentage","year","state","url","margin","electoral_votes_maximum","electoral_winner","state_winner","votes_margin_total"
"Donald Trump","Republican","New York","Mike Pence",3,279240,56.17,2016,"Montana","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Montana",101531,3,"Donald Trump","Donald Trump",77744
"Hillary Clinton","Democratic","New York","Tim Kaine",0,177709,35.75,2016,"Montana","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Montana",101531,3,"Donald Trump","Donald Trump",77744
"Gary Johnson","Libertarian","New Mexico","Bill Weld",0,28037,5.64,2016,"Montana","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Montana",101531,3,"Donald Trump","Donald Trump",77744
"Warren G Harding","Republican","Ohio","Calvin Coolidge",8,247498,64.66,1920,"Nebraska","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Nebraska",127890,8,"Warren G Harding","Warren G Harding",1291746
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",0,119608,31.25,1920,"Nebraska","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Nebraska",127890,8,"Warren G Harding","Warren G Harding",1291746
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",8,218585,47.09,1924,"Nebraska","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Nebraska",81296,8,"Calvin Coolidge","Calvin Coolidge",775520
"John W Davis","Democratic","West Virginia","Charles W Bryan",0,137289,29.58,1924,"Nebraska","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Nebraska",81296,8,"Calvin Coolidge","Calvin Coolidge",775520
"Robert M La Follette","La Follette Independent","Wisconsin","Burton K Wheeler",0,106701,22.99,1924,"Nebraska","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Nebraska",81296,8,"Calvin Coolidge","Calvin Coolidge",775520
"Herbert Hoover","Republican","California","Charles Curtis",8,345745,63.19,1928,"Nebraska","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Nebraska",147786,8,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph T Robinson",0,197959,36.18,1928,"Nebraska","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Nebraska",147786,8,"Herbert Hoover","Herbert Hoover",866640
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",7,359082,63,1932,"Nebraska","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Nebraska",157905,7,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Herbert Hoover","Republican","California","Charles Curtis",0,201177,35.3,1932,"Nebraska","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Nebraska",157905,7,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",7,347445,57.1,1936,"Nebraska","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Nebraska",99714,7,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,247731,40.7,1936,"Nebraska","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Nebraska",99714,7,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Wendell Willkie","Republican","Indiana","Charles L McNary",7,352201,57.2,1940,"Nebraska","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Nebraska",88524,7,"Franklin D Roosevelt","Wendell Willkie",891866
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",0,263677,42.8,1940,"Nebraska","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Nebraska",88524,7,"Franklin D Roosevelt","Wendell Willkie",891866
"Thomas E Dewey","Republican","New York","John W Bricker",6,329880,58.6,1944,"Nebraska","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Nebraska",96634,6,"Franklin D Roosevelt","Thomas E Dewey",581936
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",0,233246,41.4,1944,"Nebraska","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Nebraska",96634,6,"Franklin D Roosevelt","Thomas E Dewey",581936
"Thomas Dewey","Republican","New York","Earl Warren",6,264774,54.2,1948,"Nebraska","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Nebraska",40609,6,"Harry S Truman","Thomas Dewey",111495
"Harry S Truman","Democratic","Missouri","Alben W Barkley",0,224165,45.9,1948,"Nebraska","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Nebraska",40609,6,"Harry S Truman","Thomas Dewey",111495
"Dwight D Eisenhower","Republican","New York","Richard Nixon",6,421603,69.15,1952,"Nebraska","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Nebraska",233546,6,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Adlai Stevenson","Democratic","Illinois","John Sparkman",0,188057,30.85,1952,"Nebraska","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Nebraska",233546,6,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",6,378108,65.5,1956,"Nebraska","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Nebraska",179079,6,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,199029,34.5,1956,"Nebraska","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Nebraska",179079,6,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",6,380553,62.1,1960,"Nebraska","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Nebraska",148011,6,"John F Kennedy","Richard Nixon",22724.0000000001
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",0,232542,37.9,1960,"Nebraska","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Nebraska",148011,6,"John F Kennedy","Richard Nixon",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",5,307307,52.61,1964,"Nebraska","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Nebraska",30460,5,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,276847,47.39,1964,"Nebraska","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Nebraska",30460,5,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Richard Nixon","Republican","New York","Spiro Agnew",5,321163,59.8,1968,"Nebraska","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Nebraska",150379,5,"Richard Nixon","Richard Nixon",266590
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",0,170784,31.8,1968,"Nebraska","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Nebraska",150379,5,"Richard Nixon","Richard Nixon",266590
"George Wallace","American","Alabama","S Marvin Griffin",0,44904,8.4,1968,"Nebraska","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Nebraska",150379,5,"Richard Nixon","Richard Nixon",266590
"Richard Nixon","Republican","California","Spiro Agnew",5,406298,70.5,1972,"Nebraska","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Nebraska",236307,5,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver",0,169991,29.5,1972,"Nebraska","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Nebraska",236307,5,"Richard Nixon","Richard Nixon",6349532
"Gerald Ford","Republican","Michigan","Bob Dole",5,359705,59.2,1976,"Nebraska","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Nebraska",126013,5,"Jimmy Carter","Gerald Ford",45716
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,233692,38.5,1976,"Nebraska","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Nebraska",126013,5,"Jimmy Carter","Gerald Ford",45716
"Ronald Reagan","Republican","California","George H W Bush",5,419937,65.53,1980,"Nebraska","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Nebraska",253086,5,"Ronald Reagan","Ronald Reagan",1462353
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,166851,26.04,1980,"Nebraska","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Nebraska",253086,5,"Ronald Reagan","Ronald Reagan",1462353
"John B Anderson","Independent","Illinois","Patrick Lucey",0,44993,7.02,1980,"Nebraska","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Nebraska",253086,5,"Ronald Reagan","Ronald Reagan",1462353
"Ronald Reagan","Republican","California","George H W Bush",5,460054,70.55,1984,"Nebraska","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Nebraska",272188,5,"Ronald Reagan","Ronald Reagan",5351583
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro",0,187866,28.81,1984,"Nebraska","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Nebraska",272188,5,"Ronald Reagan","Ronald Reagan",5351583
"George H W Bush","Republican","Texas","Dan Quayle",5,398447,60.15,1988,"Nebraska","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Nebraska",138801,5,"George H W Bush","George H W Bush",1098368
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen",0,259646,39.2,1988,"Nebraska","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Nebraska",138801,5,"George H W Bush","George H W Bush",1098368
"George H W Bush","Republican","Texas","Dan Quayle",5,344346,46.58,1992,"Nebraska","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Nebraska",127002,5,"Bill Clinton","George H W Bush",569655
"Bill Clinton","Democratic","Arkansas","Al Gore",0,217344,29.4,1992,"Nebraska","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Nebraska",127002,5,"Bill Clinton","George H W Bush",569655
"Ross Perot","Independent","Texas","James Stockdale",0,174687,23.63,1992,"Nebraska","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Nebraska",127002,5,"Bill Clinton","George H W Bush",569655
"Bob Dole","Republican","Kansas","Jack Kemp",5,363467,53.65,1996,"Nebraska","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Nebraska",126706,5,"Bill Clinton","Bob Dole",1151013
"Bill Clinton","Democratic","Arkansas","Al Gore",0,236761,34.95,1996,"Nebraska","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Nebraska",126706,5,"Bill Clinton","Bob Dole",1151013
"Ross Perot","Reform","Texas","Pat Choate",0,71278,10.52,1996,"Nebraska","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Nebraska",126706,5,"Bill Clinton","Bob Dole",1151013
"George W Bush","Republican","Texas","Dick Cheney",5,433862,62.25,2000,"Nebraska","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Nebraska",202082,5,"George W Bush","George W Bush",537
"Al Gore","Democratic","Tennessee","Joe Lieberman",0,231780,33.25,2000,"Nebraska","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Nebraska",202082,5,"George W Bush","George W Bush",537
"George W Bush","Republican","Texas","Dick Cheney",5,512814,65.9,2004,"Nebraska","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Nebraska",258486,5,"George W Bush","George W Bush",115570
"John Kerry","Democratic","Massachusetts","John Edwards",0,254328,32.68,2004,"Nebraska","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Nebraska",258486,5,"George W Bush","George W Bush",115570
"John McCain","Republican","Arizona","Sarah Palin",4,452979,56.53,2008,"Nebraska","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Nebraska",119660,5,"Barack Obama","John McCain",990320
"Barack Obama","Democratic","Illinois","Joe Biden",1,333319,41.6,2008,"Nebraska","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Nebraska",119660,5,"Barack Obama","John McCain",990320
"Mitt Romney","Republican","Massachusetts","Paul Ryan",5,475064,59.8,2012,"Nebraska","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Nebraska",172983,5,"Barack Obama","Mitt Romney",429522
"Barack Obama","Democratic","Illinois","Joe Biden",0,302081,38.03,2012,"Nebraska","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Nebraska",172983,5,"Barack Obama","Mitt Romney",429522
"Donald Trump","Republican","New York","Mike Pence",5,495961,58.75,2016,"Nebraska","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Nebraska",211467,5,"Donald Trump","Donald Trump",77744
"Hillary Clinton","Democratic","New York","Tim Kaine",0,284494,33.7,2016,"Nebraska","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Nebraska",211467,5,"Donald Trump","Donald Trump",77744
"Warren G Harding","Republican","Ohio","Calvin Coolidge",3,15479,56.92,1920,"Nevada","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Nevada",5628,3,"Warren G Harding","Warren G Harding",1291746
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",0,9851,36.22,1920,"Nevada","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Nevada",5628,3,"Warren G Harding","Warren G Harding",1291746
"Eugene V Debs","Socialist","Indiana","Seymour Stedman",0,1864,6.85,1920,"Nevada","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Nevada",5628,3,"Warren G Harding","Warren G Harding",1291746
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",3,11243,41.76,1924,"Nevada","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Nevada",1474,3,"Calvin Coolidge","Calvin Coolidge",775520
"Robert M La Follette","Independent","Wisconsin","Burton K Wheeler",0,9769,36.29,1924,"Nevada","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Nevada",1474,3,"Calvin Coolidge","Calvin Coolidge",775520
"John W Davis","Democratic","West Virginia","Charles W Bryan",0,5909,21.95,1924,"Nevada","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Nevada",1474,3,"Calvin Coolidge","Calvin Coolidge",775520
"Herbert Hoover","Republican","California","Charles Curtis",3,18327,56.54,1928,"Nevada","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Nevada",4237,3,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph Taylor Robinson",0,14090,43.46,1928,"Nevada","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Nevada",4237,3,"Herbert Hoover","Herbert Hoover",866640
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",3,28756,69.4,1932,"Nevada","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Nevada",16082,3,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Herbert Hoover","Republican","California","Charles Curtis",0,12674,30.6,1932,"Nevada","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Nevada",16082,3,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",3,31925,72.8,1936,"Nevada","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Nevada",20002,3,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,11923,27.2,1936,"Nevada","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Nevada",20002,3,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",3,31945,60.1,1940,"Nevada","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Nevada",10716,3,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Wendell Willkie","Republican","Indiana","Charles L McNary",0,21229,39.9,1940,"Nevada","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Nevada",10716,3,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",3,29623,54.6,1944,"Nevada","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Nevada",5012,3,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","John W Bricker",0,24611,45.4,1944,"Nevada","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Nevada",5012,3,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Harry S Truman","Democratic","Missouri","Alben W Barkley",3,31291,50.4,1948,"Nevada","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Nevada",1934,3,"Harry S Truman","Harry S Truman",111495
"Thomas E Dewey","Republican","New York","Earl Warren",0,29357,47.3,1948,"Nevada","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Nevada",1934,3,"Harry S Truman","Harry S Truman",111495
"Dwight D Eisenhower","Republican","New York","Richard Nixon",3,50502,61.45,1952,"Nevada","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Nevada",18814,3,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Adlai Stevenson","Democratic","Illinois","John Sparkman",0,31688,38.55,1952,"Nevada","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Nevada",18814,3,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",3,56049,57.9,1956,"Nevada","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Nevada",15409,3,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,40640,42,1956,"Nevada","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Nevada",15409,3,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",3,54880,51.16,1960,"Nevada","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Nevada",2493,3,"John F Kennedy","John F Kennedy",22724.0000000001
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",0,52387,48.84,1960,"Nevada","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Nevada",2493,3,"John F Kennedy","John F Kennedy",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",3,79339,58.6,1964,"Nevada","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Nevada",23245,3,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,56094,41.4,1964,"Nevada","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Nevada",23245,3,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Richard Nixon","Republican","New York","Spiro Agnew",3,73188,47.5,1968,"Nevada","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Nevada",12590,3,"Richard Nixon","Richard Nixon",266590
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",0,60598,39.3,1968,"Nevada","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Nevada",12590,3,"Richard Nixon","Richard Nixon",266590
"George Wallace","American Independent","Alabama","Marvin Griffin",0,20432,13.3,1968,"Nevada","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Nevada",12590,3,"Richard Nixon","Richard Nixon",266590
"Richard Nixon","Republican","California","Spiro Agnew",3,115750,63.68,1972,"Nevada","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Nevada",49734,3,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver",0,66016,36.32,1972,"Nevada","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Nevada",49734,3,"Richard Nixon","Richard Nixon",6349532
"Gerald Ford","Republican","Michigan","Bob Dole",3,101273,50.17,1976,"Nevada","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Nevada",8794,3,"Jimmy Carter","Gerald Ford",45716
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,92479,45.81,1976,"Nevada","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Nevada",8794,3,"Jimmy Carter","Gerald Ford",45716
"Ronald Reagan","Republican","California","George H W Bush",3,155017,62.54,1980,"Nevada","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Nevada",88351,3,"Ronald Reagan","Ronald Reagan",1462353
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,66666,26.89,1980,"Nevada","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Nevada",88351,3,"Ronald Reagan","Ronald Reagan",1462353
"John B Anderson","Independent","Illinois","Patrick Lucey",0,17651,7.12,1980,"Nevada","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Nevada",88351,3,"Ronald Reagan","Ronald Reagan",1462353
"Ronald Reagan","Republican","California","George H W Bush",4,188770,65.85,1984,"Nevada","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Nevada",97115,4,"Ronald Reagan","Ronald Reagan",5351583
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro",0,91655,31.97,1984,"Nevada","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Nevada",97115,4,"Ronald Reagan","Ronald Reagan",5351583
"George H W Bush","Republican","Texas","Dan Quayle",4,206040,58.86,1988,"Nevada","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Nevada",73302,4,"George H W Bush","George H W Bush",1098368
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen",0,132738,37.92,1988,"Nevada","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Nevada",73302,4,"George H W Bush","George H W Bush",1098368
"Bill Clinton","Democratic","Arkansas","Al Gore",4,189148,37.36,1992,"Nevada","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Nevada",13320,4,"Bill Clinton","Bill Clinton",569655
"George H W Bush","Republican","Texas","Dan Quayle",0,175828,34.73,1992,"Nevada","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Nevada",13320,4,"Bill Clinton","Bill Clinton",569655
"Ross Perot","Independent","Texas","James Stockdale",0,132580,26.19,1992,"Nevada","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Nevada",13320,4,"Bill Clinton","Bill Clinton",569655
"Bill Clinton","Democratic","Arkansas","Al Gore",4,203974,43.93,1996,"Nevada","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Nevada",4730,4,"Bill Clinton","Bill Clinton",1151013
"Bob Dole","Republican","Kansas","Jack Kemp",0,199244,42.91,1996,"Nevada","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Nevada",4730,4,"Bill Clinton","Bill Clinton",1151013
"Ross Perot","Reform","Texas","Pat Choate",0,43986,9.47,1996,"Nevada","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Nevada",4730,4,"Bill Clinton","Bill Clinton",1151013
"George W Bush","Republican","Texas","Dick Cheney",4,301575,49.52,2000,"Nevada","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Nevada",21597,4,"George W Bush","George W Bush",537
"Al Gore","Democratic","Tennessee","Joe Lieberman",0,279978,45.98,2000,"Nevada","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Nevada",21597,4,"George W Bush","George W Bush",537
"George W Bush","Republican","Texas","Dick Cheney",5,418690,50.47,2004,"Nevada","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Nevada",21500,5,"George W Bush","George W Bush",115570
"John Kerry","Democratic","Massachusetts","John Edwards",0,397190,47.88,2004,"Nevada","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Nevada",21500,5,"George W Bush","George W Bush",115570
"Barack Obama","Democratic","Illinois","Joe Biden",5,533736,55.15,2008,"Nevada","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Nevada",120909,5,"Barack Obama","Barack Obama",990320
"John McCain","Republican","Arizona","Sarah Palin",0,412827,42.65,2008,"Nevada","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Nevada",120909,5,"Barack Obama","Barack Obama",990320
"Barack Obama","Democratic","Illinois","Joe Biden",6,531373,52.36,2012,"Nevada","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Nevada",67806,6,"Barack Obama","Barack Obama",429522
"Mitt Romney","Republican","Massachusetts","Paul Ryan",0,463567,45.68,2012,"Nevada","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Nevada",67806,6,"Barack Obama","Barack Obama",429522
"Hillary Clinton","Democratic","New York","Tim Kaine",6,539260,47.92,2016,"Nevada","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Nevada",27202,6,"Donald Trump","Hillary Clinton",77744
"Donald Trump","Republican","New York","Mike Pence",0,512058,45.5,2016,"Nevada","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Nevada",27202,6,"Donald Trump","Hillary Clinton",77744
"Warren G Harding","Republican","Ohio","Calvin Coolidge",4,95196,59.84,1920,"New_Hampshire","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_Hampshire",32534,4,"Warren G Harding","Warren G Harding",1291746
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",0,62662,39.39,1920,"New_Hampshire","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_Hampshire",32534,4,"Warren G Harding","Warren G Harding",1291746
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",4,98575,59.83,1924,"New_Hampshire","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Hampshire",41374,4,"Calvin Coolidge","Calvin Coolidge",775520
"John W Davis","Democratic","West Virginia","Charles W Bryan",0,57201,34.72,1924,"New_Hampshire","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Hampshire",41374,4,"Calvin Coolidge","Calvin Coolidge",775520
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler",0,8993,5.46,1924,"New_Hampshire","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Hampshire",41374,4,"Calvin Coolidge","Calvin Coolidge",775520
"Herbert Hoover","Republican","California","Charles Curtis",4,115404,58.65,1928,"New_Hampshire","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_Hampshire",34689,4,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph Taylor Robinson",0,80715,41.02,1928,"New_Hampshire","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_Hampshire",34689,4,"Herbert Hoover","Herbert Hoover",866640
"Herbert Hoover","Republican","California","Charles Curtis",4,103629,50.42,1932,"New_Hampshire","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_Hampshire",2949,4,"Franklin D Roosevelt","Herbert Hoover",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",0,100680,48.99,1932,"New_Hampshire","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_Hampshire",2949,4,"Franklin D Roosevelt","Herbert Hoover",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",4,108460,49.73,1936,"New_Hampshire","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_Hampshire",3818,4,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,104642,47.98,1936,"New_Hampshire","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_Hampshire",3818,4,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",4,125292,53.22,1940,"New_Hampshire","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_Hampshire",15165,4,"Franklin D Roosevelt","Franklin D Roosevelt",891866
