"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Ross Perot","Independent","Texas","James Stockdale","0","73 481","28 43",1992,"Alaska","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Alaska"
"Bob Dole","Republican","Kansas","Jack Kemp","3","122 746","50 80",1996,"Alaska","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Alaska"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","80 380","33 27",1996,"Alaska","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Alaska"
"Ross Perot","Reform","Texas","Pat Choate","0","26 333","10 90",1996,"Alaska","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Alaska"
"George W Bush","Republican","Texas","Dick Cheney","3","167 398","58 62",2000,"Alaska","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Alaska"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","79 004","27 67",2000,"Alaska","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Alaska"
"Ralph Nader","Green","Connecticut","Winona LaDuke","0","28 747","10 07",2000,"Alaska","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Alaska"
"George W Bush","Republican","Texas","Dick Cheney","3","190 889","61 07",2004,"Alaska","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Alaska"
"John Kerry","Democratic","Massachusetts","John Edwards","0","111 025","35 52",2004,"Alaska","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Alaska"
"John McCain","Republican","Arizona","Sarah Palin","3","193 841","59 42",2008,"Alaska","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Alaska"
"Barack Obama","Democratic","Illinois","Joe Biden","0","123 594","37 89",2008,"Alaska","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Alaska"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","3","164 676","54 80",2012,"Alaska","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Alaska"
"Barack Obama","Democratic","Illinois","Joe Biden","0","122 640","40 81",2012,"Alaska","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Alaska"
"Donald Trump","Republican","New York","Mike Pence","3","163 387","51 28",2016,"Alaska","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alaska"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","116 454","36 55",2016,"Alaska","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alaska"
"Gary Johnson","Libertarian","New Mexico","Bill Weld","0","18 725","5 88",2016,"Alaska","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alaska"
